filename,z3-time,z3-res,message
benchmark_sample_50/Leetcode_sat/6c11c63b0c90f035ae14b46def0c1080938020997ba7a8d467b88072.smt2,0.12,unknown,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_z3str/lib_int-ipaddress__ip_int_from_string/541.smt2,0.21,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/3489.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_z3seq/leetcode_int-validWordAbbreviation/114.smt2,0.17,unknown,
benchmark_sample_50/Leetcode_sat/84bea37d0c29d510f21122e99548913f9750f956222c683978723c60.smt2,0.17,unknown,
benchmark_sample_50/stringfuzz_sat/lengths-concats-00011-0.smt25,0.32,sat,
benchmark_sample_50/Leetcode_sat/1788405023d551378a6314f80506ca480a57d9bbb744d7470f5dfee8.smt2,0.16,sat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/6735.smt2,0.08,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/881.smt2,0.09,unsat,
benchmark_sample_50/Leetcode_sat/765eddd214b606ebdc5fe0b2f8f4e54aff67cd06398cbb370c284bfe.smt2,0.11,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/6404.smt2,0.10,unsat,
benchmark_sample_50/Leetcode_sat/8ee265ee6bb8209d765033d1173cd4417a8614ed8a18eb027800dc0f.smt2,0.13,unknown,
benchmark_sample_50/Leetcode_sat/51f282de7aa289e08703b45e9d2864a3bc6a1884f77666a46469adc3.smt2,0.15,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/184.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/5766.smt2,0.11,unsat,
benchmark_sample_50/stringfuzz_sat/regex-pair-00076-0.smt25,0.38,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/5112.smt2,0.10,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/4456.smt2,0.12,unsat,
benchmark_sample_50/Leetcode_sat/40a5c1bfb3c56f0c1a1751959b8e837bd2e923c59871541686938a76.smt2,0.13,sat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/2493.smt2,0.12,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3str/leetcode_int-restoreIpAddresses/914.smt2,0.08,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/3808.smt2,0.11,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/7048.smt2,0.10,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-add_binary/6.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/7369.smt2,0.14,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/7690.smt2,0.11,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_trauc/lib_int-smtpd_parseargs/11.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_trauc/leetcode_int-numDecodings/40.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/4789.smt2,0.12,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/6081.smt2,0.13,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/5440.smt2,0.13,unsat,
benchmark_sample_50/Leetcode_sat/31f305415f94eb5cd5310377bbbffb98d2e61c5a3dcb197d206f4d7f.smt2,0.23,sat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/1508.smt2,0.12,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3str/leetcode_int-restoreIpAddresses/582.smt2,0.11,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-add_binary/796.smt2,0.07,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/1179.smt2,0.13,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-addStrings/198.smt2,0.16,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/404.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-add_binary/162.smt2,0.12,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/1432.smt2,0.10,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/2165.smt2,0.14,unsat,
benchmark_handmade/reg_or_len_sat.smt2,0.45,sat,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_z3seq/leetcode_int-add_binary/762.smt2,0.25,unknown,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_z3seq/leetcode_int-add_binary/463.smt2,0.26,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/4358.smt2,0.11,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/340.smt2,0.11,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/1100.smt2,0.12,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/4681.smt2,0.12,unsat,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_z3seq/leetcode_int-validWordAbbreviation/54.smt2,0.26,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/1761.smt2,0.11,unsat,
benchmark_handmade/len_or_eq_sat.smt2,0.46,sat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/316.smt2,0.18,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_trauc/leetcode_int-restoreIpAddresses/389.smt2,0.14,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/372.smt2,0.11,unsat,
benchmark_handmade/reg_unsat.smt2,0.46,unknown,
benchmark_sample_50/Leetcode_sat/17342ef7e9866c0b4add7ba1f8733a4c4ebc2154dc98a4584bc24648.smt2,0.24,sat,
benchmark_sample_50/Leetcode_sat/9a3a3aeb827fe9a05da476d06bd809c4da815bf589c8dfb90bc456fc.smt2,0.23,sat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/2093.smt2,0.11,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/2418.smt2,0.13,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/2744.smt2,0.12,unsat,
benchmark_sample_50/thefuck/06_thefuckthefuck.rules.brew_cask_dependency_get_cask_install_linesformula33_unsat.smt2,0.11,unsat,
benchmark_handmade/len_unsat.smt2,0.48,unknown,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_z3seq/leetcode_int-add_binary/174.smt2,0.30,unknown,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-restoreIpAddresses/3067.smt2,0.14,unsat,
benchmark_sample_50/Leetcode_sat/1250eea09e60b730ef06fc3c92afb91430543b3a2056df70c7d68664.smt2,0.25,sat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula275_unsat.smt2,0.14,unsat,
benchmark_sample_50/thefuck/06_thefucktests.rules.test_cp_omitting_directorytest_matchformula7_sat.smt2,0.11,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula521_unsat.smt2,0.14,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula200_unsat.smt2,0.11,unsat,
benchmark_sample_50/Leetcode_sat/dfde0d6abe8b4671a22f76c8bf88ed28242557db185d516887d5429c.smt2,0.26,sat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula1906_unsat.smt2,0.14,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula3671_unsat.smt2,0.15,unsat,
benchmark_sample_50/Leetcode_sat/cee7250044de19c99f83c7b3c5780b2ede1ddf0eb9017d8796a09867.smt2,0.32,sat,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_trauc/leetcode_int-validIPAddress/15.smt2,0.34,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula1948_unsat.smt2,0.10,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula201_unsat.smt2,0.11,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula959_unsat.smt2,0.13,unsat,
benchmark_sample_50/django_3/08_djangodjango.urls.basetranslate_urlformula745_unsat.smt2,0.07,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3str/leetcode_int-restoreIpAddresses/244.smt2,0.24,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula298_unsat.smt2,0.14,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils._ossafe_joinformula1644_unsat.smt2,0.07,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula1040_unsat.smt2,0.11,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula35_unsat.smt2,0.11,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula1634_unsat.smt2,0.17,unsat,
benchmark_sample_50/full_str_int_sat_50/py-conbyte_trauc/leetcode_int-addStrings/288.smt2,0.41,unknown,
benchmark_sample_50/django_3/08_djangotests.validators.testscreate_pathformula18_unsat.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula515_unsat.smt2,0.14,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula1292_unsat.smt2,0.10,unsat,
benchmark_sample_50/thefuck/06_thefuckthefuck.rules.docker_not_command_parse_commandsformula494_sat.smt2,0.12,unknown,
benchmark_sample_50/django_3/08_djangodjango.views.staticserveformula306_unsat.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula536_unsat.smt2,0.11,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.runnerDiscoverRunner.run_testsformula289_unsat.smt2,0.08,unsat,
benchmark_sample_50/django_3/08_djangodjango.urls.basetranslate_urlformula132_unsat.smt2,0.08,unsat,
benchmark_sample_50/thefuck/06_thefucktests.rules.test_git_bisect_usagetest_get_new_commandformula210_sat.smt2,0.12,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula568_unsat.smt2,0.13,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula4806_unsat.smt2,0.22,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula2504_unsat.smt2,0.14,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.httpurl_has_allowed_host_and_schemeformula72_unsat.smt2,0.10,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula4100_unsat.smt2,0.12,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.testcasesassert_and_parse_htmlformula898_unsat.smt2,0.09,unsat,
benchmark_sample_50/Leetcode_sat/74de8281cb51daf743e73a517a2282d67c23ac9888f4ca8cdf88c55b.smt2,0.37,sat,
benchmark_sample_50/django_3/08_djangotests.staticfiles_tests.test_formsStaticTestStorage.urlformula94_unsat.smt2,0.10,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.testcasesSimpleTestCase.assertInHTMLformula462_unsat.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula3949_unsat.smt2,0.20,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.httpis_safe_urlformula484_unsat.smt2,0.08,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula3031_unsat.smt2,0.18,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.testcasesSimpleTestCase.assertXMLEqualformula641_unsat.smt2,0.11,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.http_url_has_allowed_host_and_schemeformula128_unsat.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.rules.test_no_commandtest_get_new_commandformula597_unsat.smt2,0.19,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.testcasesSimpleTestCase.assertXMLEqualformula423_unsat.smt2,0.13,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.feedgeneratorget_tag_uriformula566_unsat.smt2,0.11,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.testcasesSimpleTestCase.assertInHTMLformula46_sat.smt2,0.09,unknown,
benchmark_sample_50/django_3/08_djangotests.bash_completion.testsBashCompletionTests._user_inputformula33_unsat.smt2,0.08,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.http_url_has_allowed_host_and_schemeformula703_unsat.smt2,0.12,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.htmlparse_htmlformula3129_unsat.smt2,0.09,unsat,
benchmark_sample_50/full_str_int_unsat_50/py-conbyte_z3seq/leetcode_int-add_binary/372.smt2,0.27,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula2349_unsat.smt2,0.16,unsat,
benchmark_sample_50/django_3/08_djangodjango.test.testcasesSimpleTestCase.assertInHTMLformula1605_unsat.smt2,0.09,unsat,
benchmark_sample_50/django_3/08_djangotests.admin_views.testsAdminKeepChangeListFiltersTests.assertURLEqualformula115_sat.smt2,0.15,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula1158_unsat.smt2,0.17,unsat,
benchmark_sample_50/Leetcode_sat/9cd1567fb9e77821f478e21e2fa80556938e94aa587730908d14b1d8.smt2,0.41,sat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_is_appformula1470_unsat.smt2,0.21,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula1478_unsat.smt2,0.23,unsat,
benchmark_sample_50/django_3/08_djangodjango.utils.http_url_has_allowed_host_and_schemeformula840_sat.smt2,0.12,unknown,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula2669_unsat.smt2,0.21,unsat,
benchmark_sample_50/django_3/08_djangodjango.views.staticserveformula235_unsat.smt2,0.11,unsat,
benchmark_sample_50/django_3/08_djangotests.file_storage.testsCustomStorage.get_available_nameformula488_unsat.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula2390_unsat.smt2,0.21,unsat,
benchmark_sample_50/django_3/08_djangodjango.urls.basetranslate_urlformula138_unsat.smt2,0.09,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_argument_parsertest_parseformula1336_unsat.smt2,0.22,unsat,
benchmark_sample_50/thefuck/06_thefucktests.test_utilstest_for_appformula4150_unsat.smt2,0.29,unsat,
